日期: 20260427
强势股总数: 241

序号  名称        代码      涨幅      换手      成交        量比      新高    趋势评分
130 探路者       300005     3.8%  6.78%    9.88亿   1.5   1    1.84
131 岱勒新材      300700     3.7%  6.43%    2.93亿   1.6   1    1.83
132 金洲管道      002443     4.4% 11.39%    6.99亿   1.3   1    1.82
133 晶升股份      688478     5.3%  6.20%    3.91亿   0.9   1    1.81
134 宁波银行      002142     1.7%  0.99%   21.62亿   2.4   1    1.81
135 海光信息      688041     4.0%  1.99%  138.49亿   1.4   1    1.80
136 敷尔佳       301371     3.7% 14.95%    3.39亿   1.5   1    1.80
137 智微智能      001339     2.4% 17.12%   17.53亿   2.0   1    1.79
138 胜蓝股份      300843     3.9%  6.91%    8.04亿   1.4   1    1.78
139 零点有数      301169     4.3%  3.14%    1.53亿   1.2   1    1.77
140 凌玮科技      301373     4.2% 25.10%   12.51亿   1.2   1    1.75
141 华亚智能      003043     2.2%  5.82%    2.79亿   2.0   1    1.75
142 崧盛股份      301002     2.1% 17.33%    6.85亿   2.1   1    1.75
143 建龙微纳      688357     3.4%  2.42%    0.94亿   1.5   1    1.74
144 纳百川       301667     4.7% 40.31%   10.94亿   1.0   1    1.72
145 水羊股份      300740     4.1%  5.15%    4.72亿   1.2   1    1.70
146 天赐材料      002709     4.2%  9.74%   79.06亿   1.1   1    1.69
147 德方纳米      300769     3.8%  9.64%   12.62亿   1.2   1    1.69
148 光迅科技      002281     4.5%  9.95%  105.00亿   0.9   1    1.68
149 天华新能      300390     3.5% 13.26%   81.92亿   1.3   1    1.68
150 江苏国泰      002091     2.4%  3.60%    5.66亿   1.8   1    1.68
151 瀚蓝环境      600323     2.1%  1.50%    3.80亿   1.9   1    1.67
152 狮头股份      600539     3.7%  9.58%    3.91亿   1.3   1    1.66
153 睿创微纳      688002     4.0%  2.09%   13.36亿   1.1   1    1.64
154 丰林集团      601996     3.3%  8.57%    2.59亿   1.3   1    1.64
155 冰轮环境      000811     4.0%  5.64%   12.59亿   1.1   1    1.63
156 安诺其       300067    -2.2% 22.36%   13.86亿   2.3   0    1.62
157 奥克股份      300082     3.6%  7.57%    6.70亿   1.2   1    1.61
158 瑞丰高材      300243     4.4% 12.00%    4.19亿   0.8   1    1.59
159 株冶集团      600961    -3.8% 13.14%   29.04亿   1.0   1    1.59
160 恒润股份      603985     4.1% 12.48%   14.39亿   0.9   1    1.58
161 菱电电控      688667     4.0%  3.61%    2.98亿   0.9   1    1.58
162 惠泉啤酒      600573     3.4%  5.96%    1.98亿   1.2   1    1.58
163 四方达       300179     3.9% 13.63%   15.07亿   0.9   1    1.56
164 禾望电气      603063     4.1%  8.50%   16.36亿   0.9   1    1.54
165 雪榕生物      300511     3.4%  8.15%    3.47亿   1.1   1    1.53
166 星源材质      300568     3.0%  7.53%   15.02亿   1.3   1    1.53
